AccountSid,PhysicalNumber,VirtualNumber,Usage,_state
tvscredit3m,01169053049,04048214503,1,pn
tvscredit3m,04069169658,04048214503,1,pn
tvscredit3m,08062410240,04048214503,1,pn
tvscredit3m,01135048989,04048214503,1,pn
tvscredit3m,01135048988,04048214504,1,pn
tvscredit3m,01169053048,04048214504,1,pn
tvscredit3m,04069169659,04048214504,1,pn
tvscredit3m,04069169660,04048214527,1,pn
tvscredit3m,01135048987,04048214527,1,pn
tvscredit3m,01169053047,04048214527,1,pn
tvscredit3m,04069169661,04048938008,1,pn
tvscredit3m,01135048983,04048938008,1,pn
tvscredit3m,01169053043,04048938008,1,pn
tvscredit3m,01135048984,04048938265,1,pn
tvscredit3m,01169053044,04048938265,1,pn
tvscredit3m,04069169663,04048938265,1,pn
tvscredit3m,04069169664,04048938266,1,pn
tvscredit3m,01135048985,04048938266,1,pn
tvscredit3m,01169053045,04048938266,1,pn
tvscredit3m,01135048986,04048938267,1,pn
tvscredit3m,01169053046,04048938267,1,pn
tvscredit3m,04069169666,04048938267,1,pn
tvscredit3m,01169053058,04048938268,1,pn
tvscredit3m,04069169667,04048938268,1,pn
tvscredit3m,01135048998,04048938268,1,pn
tvscredit3m,01135054000,04048938269,1,pn
tvscredit3m,01135048999,04048938269,1,pn
tvscredit3m,01169053059,04048938269,1,pn
tvscredit3m,04069169669,04048938269,1,pn
tvscredit3m,01169053060,04048938270,1,pn
tvscredit3m,04069169670,04048938270,1,pn
tvscredit3m,01135054001,04048938270,1,pn
tvscredit3m,01169053042,04048938271,1,pn
tvscredit3m,01135048982,04048938271,1,pn
tvscredit3m,04069169673,04048938271,1,pn
tvscredit3m,07969457992,04446974402,1,pn
tvscredit3m,04469089602,04446974402,1,pn
tvscredit3m,04435083046,04446974402,1,pn
tvscredit3m,04469089603,04446974405,1,pn
tvscredit3m,04435083047,04446974405,1,pn
tvscredit3m,07969457993,04446974405,1,pn
tvscredit3m,07969457994,04446974520,1,pn
tvscredit3m,04469089604,04446974520,1,pn
tvscredit3m,04435083048,04446974520,1,pn
